"시점","항목","업태별",데이터
"2020. 01","불변지수","백화점",101.0
"2020. 01","불변지수","대형마트",110.7
"2020. 01","불변지수","면세점",267.7
"2020. 01","불변지수","슈퍼마켓 및 잡화점",102.0
"2020. 01","불변지수","체인 슈퍼마켓",118.6
"2020. 01","불변지수","일반 슈퍼마켓 및 잡화점",93.3
"2020. 01","불변지수","편의점",142.8
"2020. 01","불변지수","승용차 및 연료 소매점",99.0
"2020. 01","불변지수","승용차 소매점",92.0
"2020. 01","불변지수","연료 소매점",105.4
"2020. 01","불변지수","전문소매점",91.8
"2020. 01","불변지수","가전·컴퓨터·통신기기 소매점",86.7
"2020. 01","불변지수","의복·신발·가방 소매점",83.1
"2020. 01","불변지수","음식·가정· 문화상품 소매점",90.5
"2020. 01","불변지수","의약품·화장품·기타상품 소매점",106.7
"2020. 01","불변지수","무점포 소매",169.9
"2020. 01","불변지수","인터넷 쇼핑",213.0
"2020. 01","불변지수","홈쇼핑",131.7
"2020. 01","불변지수","방문 및 배달 소매점",85.0
"2020. 02","불변지수","총지수",97.7
"2020. 02","불변지수","백화점",71.7
"2020. 02","불변지수","대형마트",84.5
"2020. 02","불변지수","면세점",146.6
"2020. 02","불변지수","슈퍼마켓 및 잡화점",91.2
"2020. 02","불변지수","체인 슈퍼마켓",105.2
"2020. 02","불변지수","일반 슈퍼마켓 및 잡화점",83.8
"2020. 02","불변지수","편의점",134.9
"2020. 02","불변지수","승용차 및 연료 소매점",88.4
"2020. 02","불변지수","승용차 소매점",77.9
"2020. 02","불변지수","연료 소매점",98.1
"2020. 02","불변지수","전문소매점",78.5
"2020. 02","불변지수","가전·컴퓨터·통신기기 소매점",87.1
"2020. 02","불변지수","의복·신발·가방 소매점",59.4
"2020. 02","불변지수","음식·가정· 문화상품 소매점",78.3
"2020. 02","불변지수","의약품·화장품·기타상품 소매점",94.3
"2020. 02","불변지수","무점포 소매",181.6
"2020. 02","불변지수","인터넷 쇼핑",238.3
"2020. 02","불변지수","홈쇼핑",130.0
"2020. 02","불변지수","방문 및 배달 소매점",72.0
"2020. 03","불변지수","총지수",107.0
"2020. 03","불변지수","백화점",67.7
"2020. 03","불변지수","대형마트",88.7
"2020. 03","불변지수","면세점",146.0
"2020. 03","불변지수","슈퍼마켓 및 잡화점",97.5
"2020. 03","불변지수","체인 슈퍼마켓",115.0
"2020. 03","불변지수","일반 슈퍼마켓 및 잡화점",88.4
"2020. 03","불변지수","편의점",140.2
"2020. 03","불변지수","승용차 및 연료 소매점",120.3
"2020. 03","불변지수","승용차 소매점",140.0
"2020. 03","불변지수","연료 소매점",102.2
"2020. 03","불변지수","전문소매점",74.6
"2020. 03","불변지수","가전·컴퓨터·통신기기 소매점",88.1
"2020. 03","불변지수","의복·신발·가방 소매점",56.1
"2020. 03","불변지수","음식·가정· 문화상품 소매점",72.4
"2020. 03","불변지수","의약품·화장품·기타상품 소매점",88.7
"2020. 03","불변지수","무점포 소매",204.2
"2020. 03","불변지수","인터넷 쇼핑",269.3
"2020. 03","불변지수","홈쇼핑",146.1
"2020. 03","불변지수","방문 및 배달 소매점",76.1
"2020. 04","불변지수","총지수",108.9
"2020. 04","불변지수","백화점",82.3
"2020. 04","불변지수","대형마트",88.6
"2020. 04","불변지수","면세점",133.6
"2020. 04","불변지수","슈퍼마켓 및 잡화점",95.8
"2020. 04","불변지수","체인 슈퍼마켓",109.5
"2020. 04","불변지수","일반 슈퍼마켓 및 잡화점",88.6
"2020. 04","불변지수","편의점",141.7
"2020. 04","불변지수","승용차 및 연료 소매점",121.5
"2020. 04","불변지수","승용차 소매점",145.2
"2020. 04","불변지수","연료 소매점",99.7
"2020. 04","불변지수","전문소매점",81.7
"2020. 04","불변지수","가전·컴퓨터·통신기기 소매점",87.8
